game_pk,game_date,away,home,away_sp,home_sp,model_tag,B_home,B_away,P_awaySP,P_homeSP,d_lineup,d_sp,home_off_edge,away_off_edge,xw_net,xw_lean,xw_delta,ops_net,ops_lean,ops_delta,ops_valid,consensus,status,full_away,full_home,f5_away,f5_home,xw_full,xw_f5,ops_full,ops_f5
822884,2026-07-02,DET,TEX,Framber Valdez,Nathan Eovaldi,xw+plat_consol_v1,0.314,0.333,0.321,0.312,-0.019,0.009,-0.001,0.009,-0.01,DET,0.01,0.011,TEX,0.011,True,DIVERGE,graded,4.0,10.0,3.0,5.0,L,L,W,W
823119,2026-07-02,LAA,SEA,Walbert Ureña,Bryce Miller,xw+plat_consol_v1,0.337,0.307,0.283,0.237,0.03,0.0459999999999999,-0.018,-0.089,0.071,SEA,0.071,0.066,SEA,0.066,True,AGREE,graded,0.0,1.0,0.0,0.0,W,T,W,T
823442,2026-07-02,PIT,PHI,Jared Jones,Alan Rangel,xw+plat_consol_v1,0.32,0.33,0.338,0.27,-0.01,0.068,0.022,-0.038,0.06,PHI,0.06,0.025,PHI,0.025,False,,graded,6.0,1.0,1.0,1.0,L,T,,
823765,2026-07-02,CIN,MIL,Chase Burns,Jacob Misiorowski,xw+plat_consol_v1,0.326,0.336,0.27,0.228,-0.01,0.042,-0.041,-0.077,0.036,MIL,0.036,0.205,MIL,0.205,True,AGREE,graded,7.0,2.0,5.0,1.0,L,L,L,L
823935,2026-07-02,SD,LAD,Randy Vásquez,Roki Sasaki,xw+plat_consol_v1,0.36,0.319,0.397,0.331,0.0409999999999999,0.066,0.131,0.014,0.117,LAD,0.117,0.206,LAD,0.206,True,AGREE,graded,7.0,12.0,6.0,10.0,W,W,W,W
824093,2026-07-02,TB,KC,Ian Seymour,Stephen Kolek,xw+plat_consol_v1,0.332,0.322,0.286,0.304,0.01,-0.018,-0.019,-0.01,-0.009,TB,0.009,-0.093,TB,0.093,True,AGREE,graded,5.0,2.0,5.0,1.0,W,W,W,W
824335,2026-07-02,MIA,COL,Ryan Gusto,Michael Lorenzen,xw+plat_consol_v1,0.311,0.323,0.347,0.359,-0.012,-0.012,0.021,0.047,-0.026,MIA,0.026,-0.132,MIA,0.132,False,,graded,4.0,14.0,4.0,5.0,L,L,,
824416,2026-07-02,CWS,CLE,Davis Martin,Slade Cecconi,xw+plat_consol_v1,0.308,0.336,0.306,0.325,-0.028,-0.019,-0.022,0.025,-0.047,CWS,0.047,-0.131,CWS,0.131,True,AGREE,graded,5.0,6.0,3.0,2.0,L,W,L,W
824906,2026-07-02,STL,ATL,Dustin May,Hurston Waldrep,xw+plat_consol_v1,0.331,0.344,0.301,0.373,-0.0129999999999999,-0.072,-0.005,0.085,-0.09,STL,0.09,-0.055,STL,0.055,False,,graded,11.0,5.0,3.0,5.0,W,L,,
822714,2026-07-03,PIT,WSH,Mitch Keller,Foster Griffin,xw+plat_consol_v1,0.326,0.328,0.343,0.307,-0.0020000000000000018,0.03600000000000003,0.034,-0.001,0.035,WSH,0.035,0.099,WSH,0.099,True,AGREE,pending,,,,,,,,
823120,2026-07-03,TOR,SEA,Dylan Cease,Luis Castillo,xw+plat_consol_v1,0.336,0.305,0.271,0.331,0.031000000000000028,-0.06,-0.032,-0.001,-0.031,TOR,0.031,-0.108,TOR,0.108,True,AGREE,pending,,,,,,,,
823527,2026-07-03,MIN,NYY,Mike Paredes,Gerrit Cole,xw+plat_consol_v1,0.324,0.314,0.356,0.292,0.010000000000000009,0.064,0.045,-0.03,0.075,NYY,0.075,-0.01,MIN,0.01,False,NA,pending,,,,,,,,
823933,2026-07-03,SD,LAD,Michael King,Shohei Ohtani,xw+plat_consol_v1,0.356,0.319,0.336,0.257,0.03699999999999998,0.07900000000000001,0.058,-0.06,0.118,LAD,0.118,0.223,LAD,0.223,True,AGREE,pending,,,,,,,,
824013,2026-07-03,BOS,LAA,Jake Bennett,Reid Detmers,xw+plat_consol_v1,0.308,0.307,0.255,0.273,0.0010000000000000009,-0.018000000000000016,-0.071,-0.054,-0.017,BOS,0.017,0.033,LAA,0.033,False,NA,pending,,,,,,,,
824173,2026-07-03,TB,HOU,Nick Martinez,Spencer Arrighetti,xw+plat_consol_v1,0.329,0.315,0.33,0.338,0.014000000000000012,-0.008000000000000007,0.023,0.017,0.006,HOU,0.006,0.002,HOU,0.002,True,AGREE,pending,,,,,,,,
824417,2026-07-03,CWS,CLE,Anthony Kay,Gavin Williams,xw+plat_consol_v1,0.306,0.335,0.355,0.326,-0.029000000000000026,0.02899999999999997,0.024,0.025,-0.001,CWS,0.001,-0.023,CWS,0.023,True,AGREE,pending,,,,,,,,
824498,2026-07-03,BAL,CIN,Trevor Rogers,Brady Singer,xw+plat_consol_v1,0.334,0.337,0.313,0.36,-0.0030000000000000027,-0.046999999999999986,0.011,0.064,-0.053,BAL,0.053,-0.072,BAL,0.072,True,AGREE,pending,,,,,,,,
