game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822877,2026-07-09,Los Angeles Angels @ Texas Rangers,away,Reid Detmers,L,Texas Rangers,9,2,7,0,7,1,111,False,True,0.81,0.777,0.618,0.639,0.658,-0.09
822877,2026-07-09,Los Angeles Angels @ Texas Rangers,home,Nathan Eovaldi,R,Los Angeles Angels,9,3,6,0,3,0,191,False,True,0.74,0.737,0.709,0.717,0.716,-0.032
822954,2026-07-09,New York Yankees @ Tampa Bay Rays,away,Paul Blackburn,R,Tampa Bay Rays,9,4,5,0,4,0,91,False,True,0.795,0.791,0.602,0.652,0.693,-0.055
822954,2026-07-09,New York Yankees @ Tampa Bay Rays,home,Drew Rasmussen,R,New York Yankees,9,6,2,1,7,0,153,False,True,0.755,0.76,0.628,0.647,0.647,-0.101
823034,2026-07-09,Milwaukee Brewers @ St. Louis Cardinals,away,Logan Henderson,R,St. Louis Cardinals,9,5,4,0,5,0,26,True,False,0.782,0.777,0.654,0.688,0.716,-0.032
823034,2026-07-09,Milwaukee Brewers @ St. Louis Cardinals,home,Andre Pallante,R,Milwaukee Brewers,9,4,5,0,4,0,186,False,True,0.795,0.788,0.673,0.686,0.725,-0.023
823201,2026-07-09,Colorado Rockies @ San Francisco Giants,away,Ryan Feltner,R,San Francisco Giants,9,5,4,0,5,2,117,False,True,0.794,0.787,0.726,0.735,0.77,0.022
823201,2026-07-09,Colorado Rockies @ San Francisco Giants,home,Carson Whisenhunt,L,Colorado Rockies,9,2,5,2,7,0,8,True,False,0.747,0.758,0.676,0.741,0.743,-0.005
823277,2026-07-09,Arizona Diamondbacks @ San Diego Padres,away,Merrill Kelly,R,San Diego Padres,9,4,5,0,4,0,162,False,True,0.696,0.697,0.873,0.855,0.8,0.052
823277,2026-07-09,Arizona Diamondbacks @ San Diego Padres,home,Griffin Canning,R,Arizona Diamondbacks,9,2,5,2,4,1,88,False,True,0.715,0.732,0.758,0.777,0.772,0.024
823359,2026-07-09,Atlanta Braves @ Pittsburgh Pirates,away,Bryce Elder,R,Pittsburgh Pirates,9,3,4,2,5,1,156,False,True,0.819,0.811,0.711,0.706,0.745,-0.003
823359,2026-07-09,Atlanta Braves @ Pittsburgh Pirates,home,Mitch Keller,R,Atlanta Braves,9,6,2,1,7,1,163,False,True,0.767,0.767,0.784,0.78,0.779,0.031
823606,2026-07-09,Kansas City Royals @ New York Mets,away,Michael Wacha,R,New York Mets,9,4,4,1,5,0,205,False,True,0.745,0.75,0.715,0.717,0.713,-0.035
823606,2026-07-09,Kansas City Royals @ New York Mets,home,Sean Manaea,L,Kansas City Royals,9,2,6,1,7,1,106,False,True,0.749,0.752,0.801,0.79,0.792,0.044
823683,2026-07-09,Cleveland Guardians @ Minnesota Twins,away,Gavin Williams,R,Minnesota Twins,9,4,3,2,6,1,170,False,True,0.758,0.756,0.683,0.692,0.685,-0.063
823683,2026-07-09,Cleveland Guardians @ Minnesota Twins,home,Bailey Ober,R,Cleveland Guardians,9,6,2,1,7,0,136,False,True,0.715,0.725,0.756,0.757,0.719,-0.029
823846,2026-07-09,Seattle Mariners @ Miami Marlins,away,Bryce Miller,R,Miami Marlins,9,4,4,1,5,0,91,False,True,0.786,0.783,0.493,0.586,0.605,-0.143
823846,2026-07-09,Seattle Mariners @ Miami Marlins,home,Janson Junk,R,Seattle Mariners,9,6,2,1,7,0,94,False,True,0.744,0.748,0.807,0.79,0.775,0.027
824251,2026-07-09,Athletics @ Detroit Tigers,away,José Suarez,L,Detroit Tigers,9,5,4,0,4,3,92,False,True,0.747,0.732,0.761,0.752,0.756,0.008
824251,2026-07-09,Athletics @ Detroit Tigers,home,Framber Valdez,L,Athletics,9,1,7,1,8,1,103,False,True,0.855,0.812,0.732,0.738,0.785,0.037
824494,2026-07-09,Philadelphia Phillies @ Cincinnati Reds,away,Jesús Luzardo,L,Cincinnati Reds,9,2,5,2,7,1,107,False,True,0.855,0.811,0.69,0.709,0.766,0.018
824494,2026-07-09,Philadelphia Phillies @ Cincinnati Reds,home,Brady Singer,R,Philadelphia Phillies,9,6,3,0,6,0,141,False,True,0.777,0.773,0.884,0.865,0.882,0.134
824577,2026-07-09,Boston Red Sox @ Chicago White Sox,away,Patrick Sandoval,L,Chicago White Sox,9,4,4,1,5,2,4,True,False,0.77,0.778,0.712,0.716,0.755,0.007
824577,2026-07-09,Boston Red Sox @ Chicago White Sox,home,Anthony Kay,L,Boston Red Sox,9,2,6,1,7,4,105,False,True,0.803,0.762,0.78,0.782,0.775,0.027
824816,2026-07-09,Chicago Cubs @ Baltimore Orioles,away,David Peterson,L,Baltimore Orioles,9,3,5,1,6,2,120,False,True,0.713,0.73,0.808,0.789,0.771,0.023
824816,2026-07-09,Chicago Cubs @ Baltimore Orioles,home,Trevor Rogers,L,Chicago Cubs,9,2,6,1,7,1,96,False,True,0.769,0.761,0.724,0.736,0.736,-0.012
